date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:20	2835/2835	---MCZ	200	added ('OK')	text/xml	date:Fri,%2010%20Jul%202020%2006:35:18%20GMT	https://demo2.mercury.is/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo2.mercury.is%2Fcasino%2Fsport-casino%2F&format=xml	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/wp-json/oembed/1.0/embed70ac	(from https://demo2.mercury.is/casino/sport-casino/)
14:35:20	72307/72307	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:18%20GMT	https://demo2.mercury.is/software/praesent-magna/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/software/praesent-magna/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:20	72153/72153	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:18%20GMT	https://demo2.mercury.is/software/laoreet/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/software/laoreet/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:21	72175/72175	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:18%20GMT	https://demo2.mercury.is/software/vel-tech/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/software/vel-tech/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:21	71684/71684	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2005:17:59%20GMT	https://demo2.mercury.is/deposit-method/bank-wire-transfer/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/deposit-method/bank-wire-transfer/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:21	72285/72285	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:20%20GMT	https://demo2.mercury.is/software/velit-egestas/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/software/velit-egestas/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:21	77842/77842	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:20%20GMT	https://demo2.mercury.is/deposit-method/atm/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/deposit-method/atm/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:21	71464/71464	---M-Z	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2005:57:20%20GMT	https://demo2.mercury.is/deposit-method/neteller/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/deposit-method/neteller/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:22	71420/71420	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:21%20GMT	https://demo2.mercury.is/deposit-method/payeer/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/deposit-method/payeer/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:22	71420/71420	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:21%20GMT	https://demo2.mercury.is/deposit-method/paypal/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/deposit-method/paypal/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:22	71420/71420	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:21%20GMT	https://demo2.mercury.is/deposit-method/skrill/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/deposit-method/skrill/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:23	71464/71464	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:21%20GMT	https://demo2.mercury.is/deposit-method/unionpay/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/deposit-method/unionpay/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:23	35030/35030	---M--	200	added ('OK')	image/png	etag:%225ea3077e-88d6%22	https://s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/logo-14.png	D:/TONY/Code/20207.10/onlinecasinowalkertest/s8b2i2s2.stackpathcdn.com/wp-content/uploads/2020/04/logo-14.png	(from https://demo2.mercury.is/casino/poker-casino/)
14:35:23	71377/71377	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:22%20GMT	https://demo2.mercury.is/deposit-method/visa/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/deposit-method/visa/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:23	71556/71556	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:22%20GMT	https://demo2.mercury.is/withdrawal-method/mastercard/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/withdrawal-method/mastercard/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:24	2616/2616	---MCZ	200	added ('OK')	application/json	date:Fri,%2010%20Jul%202020%2006:35:23%20GMT	https://demo2.mercury.is/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo2.mercury.is%2Fcasino%2Fpoker-casino%2F	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/wp-json/oembed/1.0/embeda787.json	(from https://demo2.mercury.is/casino/poker-casino/)
14:35:24	71512/71512	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:23%20GMT	https://demo2.mercury.is/withdrawal-method/neteller/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/withdrawal-method/neteller/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:24	71468/71468	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:23%20GMT	https://demo2.mercury.is/withdrawal-method/skrill/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/withdrawal-method/skrill/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:25	2835/2835	---MCZ	200	added ('OK')	text/xml	date:Fri,%2010%20Jul%202020%2006:35:23%20GMT	https://demo2.mercury.is/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fdemo2.mercury.is%2Fcasino%2Fpoker-casino%2F&format=xml	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/wp-json/oembed/1.0/embed70f7	(from https://demo2.mercury.is/casino/poker-casino/)
14:35:25	71513/71513	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:24%20GMT	https://demo2.mercury.is/withdrawal-method/wirecard/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/withdrawal-method/wirecard/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:25	71602/71602	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:24%20GMT	https://demo2.mercury.is/withdrawal-limit/1000-per-day/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/withdrawal-limit/1000-per-day/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:25	71425/71425	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:24%20GMT	https://demo2.mercury.is/withdrawal-method/visa/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/withdrawal-method/visa/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
14:35:26	71624/71624	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Jul%202020%2006:35:24%20GMT	https://demo2.mercury.is/withdrawal-limit/4000-per-week/	D:/TONY/Code/20207.10/onlinecasinowalkertest/demo2.mercury.is/withdrawal-limit/4000-per-week/index.html	(from https://demo2.mercury.is/casino/royal-casino/)
